S.No.,Year,Month,Date,Reason,Education,Sex,Age,Race,Hispanic,Place of incident,Police involvement,Education_missing,Place_missing
1,2017,1,06-01-2017,Suicide,Bachelors,Male,35.0,Asian/Pacific Islander,100,Home,0,False,False
2,2017,1,19-01-2017,Suicide,Some college,Female,22.0,White,100,Street,0,False,False
3,2017,1,01-01-2017,Suicide,Bachelors,Male,61.0,White,100,Other specified,0,False,False
4,2017,2,06-02-2017,Suicide,Bachelors,Male,65.0,White,100,Home,0,False,False
5,2017,2,09-02-2017,Suicide,High School,Male,32.0,White,100,Other specified,0,False,False
6,2017,2,26-02-2017,Suicide,Less than High School,Male,18.0,Native American/Native Alaskan,100,Home,0,False,False
7,2017,2,21-02-2017,Undetermined,High School,Male,49.0,White,100,Home,0,False,False
8,2017,3,18-03-2017,Suicide,High School,Male,42.0,Native American/Native Alaskan,100,Home,0,False,False
9,2017,2,13-02-2017,Accidental,Some college,Male,51.0,White,100,Other specified,0,False,False
10,2017,2,06-02-2017,Suicide,Unknown,Male,44.85760071442746,Black,998,Home,0,True,False
11,2017,2,03-02-2017,Suicide,Some college,Male,31.0,White,100,Home,0,False,False
12,2017,1,04-01-2017,Suicide,High School,Male,22.0,Native American/Native Alaskan,100,Home,0,False,False
13,2017,3,06-03-2017,Suicide,Less than High School,Male,44.0,White,100,Home,0,False,False
14,2017,3,20-03-2017,Suicide,High School,Male,35.0,Native American/Native Alaskan,100,Home,0,False,False
15,2017,3,15-03-2017,Homicide,High School,Male,28.0,White,100,Home,0,False,False
16,2017,3,10-03-2017,Suicide,High School,Male,28.0,Native American/Native Alaskan,100,Home,0,False,False
17,2017,3,11-03-2017,Suicide,Bachelors,Male,56.0,White,100,Home,0,False,False
18,2017,3,20-03-2017,Suicide,High School,Male,54.0,Native American/Native Alaskan,100,Home,0,False,False
19,2017,3,03-03-2017,Homicide,Some college,Male,32.0,Asian/Pacific Islander,100,Home,0,False,False
20,2017,4,28-04-2017,Suicide,High School,Male,52.0,White,100,Home,0,False,False
21,2017,4,13-04-2017,Suicide,High School,Male,66.0,Native American/Native Alaskan,100,Home,0,False,False
22,2017,4,25-04-2017,Suicide,High School,Female,53.0,White,100,Home,0,False,False
23,2017,4,12-04-2017,Homicide,High School,Female,48.0,Black,100,Home,0,False,False
24,2017,4,23-04-2017,Suicide,Some college,Male,20.0,White,100,Home,0,False,False
25,2017,4,12-04-2017,Homicide,High School,Male,52.0,White,100,Other specified,0,False,False
26,2017,4,02-04-2017,Homicide,High School,Male,42.0,White,100,Other specified,0,False,False
27,2017,4,26-04-2017,Suicide,High School,Male,23.0,Native American/Native Alaskan,100,Other specified,0,False,False
28,2017,4,06-04-2017,Suicide,High School,Male,22.0,White,100,Other specified,0,False,False
29,2017,4,15-04-2017,Suicide,High School,Male,57.0,White,100,Home,0,False,False
30,2017,4,28-04-2017,Homicide,High School,Male,44.0,White,100,Other specified,0,False,False
31,2017,4,26-04-2017,Suicide,High School,Male,39.0,Native American/Native Alaskan,100,Home,0,False,False
32,2017,4,17-04-2017,Suicide,Bachelors,Male,56.0,White,100,Home,0,False,False
33,2017,4,09-04-2017,Suicide,Unknown,Male,23.0,Native American/Native Alaskan,100,Home,0,True,False
34,2017,5,10-05-2017,Suicide,High School,Male,28.0,White,100,Home,0,False,False
35,2017,4,16-04-2017,Homicide,High School,Female,26.0,White,100,Home,0,False,False
36,2017,4,03-04-2017,Undetermined,High School,Male,27.0,White,100,Home,0,False,False
37,2017,5,06-05-2017,Suicide,Less than High School,Male,24.0,Native American/Native Alaskan,100,Home,0,False,False
38,2017,5,05-05-2017,Suicide,Unknown,Male,49.0,Native American/Native Alaskan,100,Home,0,True,False
39,2017,5,12-05-2017,Suicide,Some college,Male,44.0,White,100,Home,0,False,False
40,2017,5,24-05-2017,Suicide,Some college,Male,54.0,White,100,Home,0,False,False
41,2017,5,17-05-2017,Suicide,High School,Male,32.0,Native American/Native Alaskan,100,Home,0,False,False
42,2017,6,06-06-2017,Homicide,Unknown,Male,27.0,Asian/Pacific Islander,100,Home,0,True,False
43,2017,6,25-06-2017,Suicide,Less than High School,Male,88.0,White,100,Home,0,False,False
44,2017,6,17-06-2017,Suicide,High School,Male,39.0,Native American/Native Alaskan,100,Home,0,False,False
45,2017,6,21-06-2017,Suicide,Less than High School,Male,18.0,Native American/Native Alaskan,100,Home,0,False,False
46,2017,6,12-06-2017,Suicide,Some college,Male,29.0,White,100,Home,0,False,False
47,2017,6,19-06-2017,Suicide,Bachelors,Male,40.0,White,100,Home,0,False,False
48,2017,7,06-07-2017,Homicide,High School,Male,60.0,White,100,Home,0,False,False
49,2017,6,22-06-2017,Homicide,Less than High School,Male,29.0,Native American/Native Alaskan,100,Home,0,False,False
50,2017,6,02-06-2017,Homicide,Some college,Male,39.0,Asian/Pacific Islander,100,Other specified,0,False,False
51,2017,7,13-07-2017,Suicide,High School,Male,60.0,White,100,Home,0,False,False
52,2017,7,21-07-2017,Suicide,Some college,Male,27.0,White,100,Home,0,False,False
53,2017,6,14-06-2017,Suicide,Less than High School,Male,51.0,Native American/Native Alaskan,100,Street,0,False,False
54,2017,6,01-06-2017,Undetermined,Less than High School,Female,27.0,Native American/Native Alaskan,100,Home,0,False,False
55,2017,7,17-07-2017,Suicide,High School,Male,22.0,White,100,Home,0,False,False
56,2017,7,21-07-2017,Suicide,Bachelors,Male,62.0,White,100,Other specified,0,False,False
57,2017,7,28-07-2017,Accidental,Less than High School,Male,13.0,Black,100,Home,0,False,False
58,2017,7,16-07-2017,Homicide,Some college,Male,41.0,White,100,Home,0,False,False
59,2017,7,16-07-2017,Suicide,High School,Male,58.0,White,100,Home,0,False,False
60,2017,7,02-07-2017,Homicide,High School,Male,20.0,Black,100,Home,0,False,False
61,2017,7,22-07-2017,Suicide,High School,Male,23.0,White,100,Home,0,False,False
62,2017,8,02-08-2017,Homicide,High School,Male,29.0,White,100,Unspecified,1,False,True
63,2017,8,11-08-2017,Suicide,Some college,Male,21.0,White,100,Home,0,False,False
64,2017,7,20-07-2017,Suicide,High School,Female,51.0,White,100,Home,0,False,False
65,2017,7,26-07-2017,Suicide,High School,Male,26.0,White,100,Home,0,False,False
