S.No.,Year,Month,Date,Reason,Education,Sex,Age,Race,Hispanic,Place of incident,Police involvement,day_of_week,isWeekend
1,2017,1,2017-01-06,Suicide,Bachelors,Male,35.0,Asian/Pacific Islander,100,Home,0,Friday,0
2,2017,1,2017-01-19,Suicide,Some college,Female,22.0,White,100,Street,0,Thursday,0
3,2017,1,2017-01-01,Suicide,Bachelors,Male,61.0,White,100,Other specified,0,Sunday,1
4,2017,2,2017-02-06,Suicide,Bachelors,Male,65.0,White,100,Home,0,Monday,0
5,2017,2,2017-02-09,Suicide,High School,Male,32.0,White,100,Other specified,0,Thursday,0
6,2017,2,2017-02-26,Suicide,Less than High School,Male,18.0,Native American/Native Alaskan,100,Home,0,Sunday,1
7,2017,2,2017-02-21,Undetermined,High School,Male,49.0,White,100,Home,0,Tuesday,0
8,2017,3,2017-03-18,Suicide,High School,Male,42.0,Native American/Native Alaskan,100,Home,0,Saturday,1
9,2017,2,2017-02-13,Accidental,Some college,Male,51.0,White,100,Other specified,0,Monday,0
10,2017,2,2017-02-06,Suicide,Unknown,Male,44.85760071442746,Black,998,Home,0,Monday,0
11,2017,2,2017-02-03,Suicide,Some college,Male,31.0,White,100,Home,0,Friday,0
12,2017,1,2017-01-04,Suicide,High School,Male,22.0,Native American/Native Alaskan,100,Home,0,Wednesday,0
13,2017,3,2017-03-06,Suicide,Less than High School,Male,44.0,White,100,Home,0,Monday,0
14,2017,3,2017-03-20,Suicide,High School,Male,35.0,Native American/Native Alaskan,100,Home,0,Monday,0
15,2017,3,2017-03-15,Homicide,High School,Male,28.0,White,100,Home,0,Wednesday,0
16,2017,3,2017-03-10,Suicide,High School,Male,28.0,Native American/Native Alaskan,100,Home,0,Friday,0
17,2017,3,2017-03-11,Suicide,Bachelors,Male,56.0,White,100,Home,0,Saturday,1
18,2017,3,2017-03-20,Suicide,High School,Male,54.0,Native American/Native Alaskan,100,Home,0,Monday,0
19,2017,3,2017-03-03,Homicide,Some college,Male,32.0,Asian/Pacific Islander,100,Home,0,Friday,0
20,2017,4,2017-04-28,Suicide,High School,Male,52.0,White,100,Home,0,Friday,0
21,2017,4,2017-04-13,Suicide,High School,Male,66.0,Native American/Native Alaskan,100,Home,0,Thursday,0
22,2017,4,2017-04-25,Suicide,High School,Female,53.0,White,100,Home,0,Tuesday,0
23,2017,4,2017-04-12,Homicide,High School,Female,48.0,Black,100,Home,0,Wednesday,0
24,2017,4,2017-04-23,Suicide,Some college,Male,20.0,White,100,Home,0,Sunday,1
25,2017,4,2017-04-12,Homicide,High School,Male,52.0,White,100,Other specified,0,Wednesday,0
26,2017,4,2017-04-02,Homicide,High School,Male,42.0,White,100,Other specified,0,Sunday,1
27,2017,4,2017-04-26,Suicide,High School,Male,23.0,Native American/Native Alaskan,100,Other specified,0,Wednesday,0
28,2017,4,2017-04-06,Suicide,High School,Male,22.0,White,100,Other specified,0,Thursday,0
29,2017,4,2017-04-15,Suicide,High School,Male,57.0,White,100,Home,0,Saturday,1
30,2017,4,2017-04-28,Homicide,High School,Male,44.0,White,100,Other specified,0,Friday,0
31,2017,4,2017-04-26,Suicide,High School,Male,39.0,Native American/Native Alaskan,100,Home,0,Wednesday,0
32,2017,4,2017-04-17,Suicide,Bachelors,Male,56.0,White,100,Home,0,Monday,0
33,2017,4,2017-04-09,Suicide,Unknown,Male,23.0,Native American/Native Alaskan,100,Home,0,Sunday,1
34,2017,5,2017-05-10,Suicide,High School,Male,28.0,White,100,Home,0,Wednesday,0
35,2017,4,2017-04-16,Homicide,High School,Female,26.0,White,100,Home,0,Sunday,1
36,2017,4,2017-04-03,Undetermined,High School,Male,27.0,White,100,Home,0,Monday,0
37,2017,5,2017-05-06,Suicide,Less than High School,Male,24.0,Native American/Native Alaskan,100,Home,0,Saturday,1
38,2017,5,2017-05-05,Suicide,Unknown,Male,49.0,Native American/Native Alaskan,100,Home,0,Friday,0
39,2017,5,2017-05-12,Suicide,Some college,Male,44.0,White,100,Home,0,Friday,0
40,2017,5,2017-05-24,Suicide,Some college,Male,54.0,White,100,Home,0,Wednesday,0
41,2017,5,2017-05-17,Suicide,High School,Male,32.0,Native American/Native Alaskan,100,Home,0,Wednesday,0
42,2017,6,2017-06-06,Homicide,Unknown,Male,27.0,Asian/Pacific Islander,100,Home,0,Tuesday,0
43,2017,6,2017-06-25,Suicide,Less than High School,Male,88.0,White,100,Home,0,Sunday,1
44,2017,6,2017-06-17,Suicide,High School,Male,39.0,Native American/Native Alaskan,100,Home,0,Saturday,1
45,2017,6,2017-06-21,Suicide,Less than High School,Male,18.0,Native American/Native Alaskan,100,Home,0,Wednesday,0
46,2017,6,2017-06-12,Suicide,Some college,Male,29.0,White,100,Home,0,Monday,0
47,2017,6,2017-06-19,Suicide,Bachelors,Male,40.0,White,100,Home,0,Monday,0
48,2017,7,2017-07-06,Homicide,High School,Male,60.0,White,100,Home,0,Thursday,0
49,2017,6,2017-06-22,Homicide,Less than High School,Male,29.0,Native American/Native Alaskan,100,Home,0,Thursday,0
50,2017,6,2017-06-02,Homicide,Some college,Male,39.0,Asian/Pacific Islander,100,Other specified,0,Friday,0
51,2017,7,2017-07-13,Suicide,High School,Male,60.0,White,100,Home,0,Thursday,0
52,2017,7,2017-07-21,Suicide,Some college,Male,27.0,White,100,Home,0,Friday,0
53,2017,6,2017-06-14,Suicide,Less than High School,Male,51.0,Native American/Native Alaskan,100,Street,0,Wednesday,0
54,2017,6,2017-06-01,Undetermined,Less than High School,Female,27.0,Native American/Native Alaskan,100,Home,0,Thursday,0
55,2017,7,2017-07-17,Suicide,High School,Male,22.0,White,100,Home,0,Monday,0
56,2017,7,2017-07-21,Suicide,Bachelors,Male,62.0,White,100,Other specified,0,Friday,0
57,2017,7,2017-07-28,Accidental,Less than High School,Male,13.0,Black,100,Home,0,Friday,0
58,2017,7,2017-07-16,Homicide,Some college,Male,41.0,White,100,Home,0,Sunday,1
59,2017,7,2017-07-16,Suicide,High School,Male,58.0,White,100,Home,0,Sunday,1
60,2017,7,2017-07-02,Homicide,High School,Male,20.0,Black,100,Home,0,Sunday,1
61,2017,7,2017-07-22,Suicide,High School,Male,23.0,White,100,Home,0,Saturday,1
62,2017,8,2017-08-02,Homicide,High School,Male,29.0,White,100,Unspecified,1,Wednesday,0
63,2017,8,2017-08-11,Suicide,Some college,Male,21.0,White,100,Home,0,Friday,0
64,2017,7,2017-07-20,Suicide,High School,Female,51.0,White,100,Home,0,Thursday,0
65,2017,7,2017-07-26,Suicide,High School,Male,26.0,White,100,Home,0,Wednesday,0
